ID_ENTIDAD,MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
10,021,CC_PAN_PRI,"GASTON ARMANDO BRISEÑO CASTAÑEDA","ENRIQUE ARGUIJO VAQUERA"
10,021,C_PVEM_PT_MORENA,"MARIO SERGIO QUIÑONES PRADO","LUIS ROBERTO CEPEDA MEDINA"
10,021,MC,"ALFREDO IVAAN OLIVAS DE SANTIAGO","LUIS FERNANDO HERNANDEZ HERNANDEZ"
10,021,PESD,"OSCAR ANTONIO DELGADO VILLARREAL","SEBASTIAN PUGA HURTADO"
10,022,CC_PAN_PRI,"VERONICA PATRICIA OCHOA SANCHEZ","ARACELY MORALES MARTINEZ"
10,022,C_PVEM_PT_MORENA,"ELIAS BUSTAMANTE HERNANDEZ","IRVING ENRIQUE ORTIZ MORENO"
10,022,MC,"MARCELA MONSERRAT ROBLES MERAZ","MA. LETICIA MENDEZ"
10,022,PESD,"LORENA MOTA VARGAS","ANDREA NAJERA AMAYA"
10,022,PV,"NORMA CATALINA ORONA MENDOZA","MARIA FRANCISCA LOZANO NEVAREZ"
10,023,CC_PAN_PRI,"VICTOR GIOVANNI CAPURRO AISPURO","DANIEL PINEDA IBARRA"
10,023,C_PVEM_PT_MORENA,"ARMANDO GARCIA MEZA","LORENA DEL CARMEN OLVERA CISNEROS"
10,023,MC,"CANDIDATURA CANCELADA MEDIANTE EL ACUERDO IEPC/CG56/2025","GABRIELA VARGAS MIRANDA"
10,023,PESD,"VIOLETA LOERA MARTINEZ","NANCY EDITH LOERA MARTINEZ"
10,023,PER,"ENRIQUE PEREZ ROSALES","CANDIDATURA CANCELADA"
10,024,CC_PAN_PRI,"EDGAR OMAR RODRIGUEZ RAMOS","JORGE RAFAEL GANDARA DIAZ"
10,024,C_PVEM_PT_MORENA,"NANCY FLORES ORNELAS","MARIA ANGELICA DOMINGUEZ AVILA"
10,024,MC,"BRENDA GABRIELA HERNANDEZ RUBIO","ADRIANA JUDITH ESTRADA AVILA"
10,024,PV,"ERNESTO DELGADO DELGADO","JORGE ABEL ALEMAN TINOCO"
10,024,PER,"CANDIDATURA CANCELADA MEDIANTE EL ACUERDO IEPC/CG45/2025","CANDIDATURA CANCELADA MEDIANTE EL ACUERDO IEPC/CG45/2025"
10,025,CC_PAN_PRI,"RODRIGO MEZA RENTERIA","PEDRO FIERRO RAMIREZ"
10,025,C_PVEM_PT_MORENA,"ROCIO LORENA MEDINA AMAYA","MAIRA BEATRIZ ALVAREZ ALDACO"
10,025,MC,"JESUS EDUARDO ESTRADA MERAZ","MIGUEL ANGEL TAMAYO VELA"
10,025,PESD,"JUAN CARLOS ANDRADE AVALOS","EDITH IVONNE RENTERIA ATAYDE"
10,025,PV,"GABINO MEDINA CARDOZA","EDGAR ALEJANDRO GARCIA RAMIREZ"
10,025,PER,"HUMBERTO SILERIO RUTIAGA","DANIEL ONTIVEROS LOPEZ"
10,026,CC_PAN_PRI,"JESUS ARIEL CABRIALES MENDEZ","RENE MARTINEZ RODRIGUEZ"
10,026,C_PVEM_PT_MORENA,"MANUEL EULOGIO RODRIGUEZ AGUIRRE","ENRIQUE GUZMAN MORENO"
10,026,MC,"FRANCISCO JAVIER FLORES ALVARADO","JOSE ALBINO BUENO MONARREZ"
10,027,CC_PAN_PRI,"JOSE ANTONIO VILLEGAS SARABIA","EMMA JANETH ROMERO ESCOBEDO"
10,027,C_PVEM_PT_MORENA,"ELIDA DE LOS RIOS LOPEZ","MARIA CITLALI VILLARREAL CARRIZOSA"
10,027,MC,"JOSE RAMIRO LOZANO BELTRAN","JOSE RAMON HERNANDEZ RIVERA"
10,027,PESD,"LORENA GUZMAN GALINDO","MARIA GRISELDA CELAYA REYES"
10,027,PER,"CANDIDATURA CANCELADA MEDIANTE EL ACUERDO IEPC/CG45/2025","CANDIDATURA CANCELADA MEDIANTE EL ACUERDO IEPC/CG45/2025"
10,028,CC_PAN_PRI,"EFRAIN PADILLA FLORES","JESUS DAVILA MEDINA"
10,028,C_PVEM_PT_MORENA,"MA. ALEJANDRINA RAMIREZ ACOSTA","LETICIA FLORES ALDACO"
10,028,MC,"NOE NERI MUÑOZ","JONATHAN ARATH MIRELES BARRON"
